Transaction Date,Posting Date,Transaction ID,Merchant,Category,Amount,Card Number
2023-02-19,2023-02-19,TXN5666692,Spotify,Entertainment,261.89,**** **** **** 8245
2023-02-19,2023-02-21,TXN4050766,PG&E,Utilities,19.21,**** **** **** 6325
2023-02-19,2023-02-21,TXN4486102,Trader Joes,Groceries,480.25,**** **** **** 2625
2023-02-20,2023-02-21,TXN5521644,Walmart,Groceries,118.32,**** **** **** 1339
2023-02-20,2023-02-22,TXN2408404,Costco,Groceries,297.99,**** **** **** 1444
2023-02-21,2023-02-21,TXN3916107,Exxon,Gas,45.19,**** **** **** 4929
2023-02-21,2023-02-22,TXN6407373,Walgreens,Healthcare,220.61,**** **** **** 5397
2023-02-21,2023-02-22,TXN7360307,Spotify,Entertainment,94.96,**** **** **** 5262
2023-02-22,2023-02-22,TXN8132648,Exxon,Gas,296.95,**** **** **** 4241
2023-02-22,2023-02-24,TXN3141239,Verizon,Utilities,86.70,**** **** **** 8657
2023-02-23,2023-02-23,TXN3030966,Chipotle,Dining,55.44,**** **** **** 5941
2023-02-23,2023-02-24,TXN4231028,Chevron,Gas,129.44,**** **** **** 2976
2023-02-23,2023-02-24,TXN5936453,Walgreens,Healthcare,397.50,**** **** **** 2524
2023-02-24,2023-02-26,TXN4816534,Shell,Gas,417.15,**** **** **** 5853
2023-02-25,2023-02-26,TXN1873851,Shell,Gas,237.80,**** **** **** 9837
2023-02-26,2023-02-28,TXN2156902,Costco,Groceries,268.71,**** **** **** 7071
2023-02-27,2023-02-27,TXN4656838,Netflix,Entertainment,67.48,**** **** **** 2874
2023-02-27,2023-02-28,TXN7381734,Verizon,Utilities,473.30,**** **** **** 1320
2023-02-28,2023-02-28,TXN4093109,Chevron,Gas,241.96,**** **** **** 6582
2023-02-28,2023-02-28,TXN8796514,McDonalds,Dining,441.41,**** **** **** 4995
2023-03-01,2023-03-01,TXN9826250,Shell,Gas,67.75,**** **** **** 7897
2023-03-02,2023-03-03,TXN2538024,Shell,Gas,484.26,**** **** **** 8450
2023-03-03,2023-03-04,TXN5195951,Etsy,Online Shopping,153.08,**** **** **** 7951
2023-03-03,2023-03-04,TXN7183841,Costco,Groceries,270.60,**** **** **** 8451
2023-03-04,2023-03-06,TXN9610704,Pizza Hut,Dining,226.90,**** **** **** 6931
2023-03-05,2023-03-05,TXN2630611,Costco,Groceries,497.98,**** **** **** 2902
2023-03-06,2023-03-06,TXN9349470,Pizza Hut,Dining,311.76,**** **** **** 4945
2023-03-06,2023-03-08,TXN5921894,Shell,Gas,27.77,**** **** **** 1919
2023-03-08,2023-03-08,TXN9361353,CVS Pharmacy,Healthcare,325.62,**** **** **** 3522
2023-03-08,2023-03-10,TXN8031780,Spotify,Entertainment,229.55,**** **** **** 9850
2023-03-09,2023-03-10,TXN8857296,Exxon,Gas,435.85,**** **** **** 2886
2023-03-09,2023-03-11,TXN3650391,Costco,Groceries,451.10,**** **** **** 9955
2023-03-10,2023-03-11,TXN8151684,Walmart,Groceries,499.30,**** **** **** 7580
2023-03-11,2023-03-12,TXN8159911,PG&E,Utilities,366.16,**** **** **** 6120
2023-03-11,2023-03-13,TXN6455706,Netflix,Entertainment,67.46,**** **** **** 9984
2023-03-12,2023-03-13,TXN4020853,Comcast,Utilities,125.88,**** **** **** 7751
2023-03-13,2023-03-15,TXN1368085,Etsy,Online Shopping,151.46,**** **** **** 5837
2023-03-13,2023-03-15,TXN2663938,Chevron,Gas,255.25,**** **** **** 8048
2023-03-14,2023-03-15,TXN6533187,Etsy,Online Shopping,56.78,**** **** **** 3634
2023-03-14,2023-03-16,TXN1615675,Walgreens,Healthcare,332.98,**** **** **** 7561
2023-03-15,2023-03-15,TXN9633492,Ebay,Online Shopping,165.02,**** **** **** 7622
2023-03-15,2023-03-16,TXN4918527,Airbnb,Travel,123.21,**** **** **** 7274
2023-03-15,2023-03-16,TXN4979651,Uber,Travel,427.40,**** **** **** 2747
2023-03-16,2023-03-16,TXN9526867,Health Clinic,Healthcare,76.60,**** **** **** 4122
2023-03-16,2023-03-17,TXN6512415,Etsy,Online Shopping,347.89,**** **** **** 2315
2023-03-17,2023-03-18,TXN2255409,Trader Joes,Groceries,76.36,**** **** **** 3529
2023-03-19,2023-03-19,TXN9748499,Health Clinic,Healthcare,114.67,**** **** **** 1710
2023-03-19,2023-03-21,TXN7847048,Spotify,Entertainment,329.19,**** **** **** 9017
2023-03-20,2023-03-20,TXN4816586,Airbnb,Travel,343.78,**** **** **** 5708
2023-03-20,2023-03-21,TXN3198037,CVS Pharmacy,Healthcare,105.76,**** **** **** 9998
2023-03-20,2023-03-21,TXN6183033,AMC Theaters,Entertainment,53.10,**** **** **** 1645
2023-03-21,2023-03-21,TXN2957497,Health Clinic,Healthcare,154.58,**** **** **** 7689
2023-03-22,2023-03-22,TXN2355439,Health Clinic,Healthcare,455.30,**** **** **** 2204
2023-03-22,2023-03-22,TXN3112652,Walmart,Groceries,394.46,**** **** **** 4990
2023-03-22,2023-03-22,TXN4713925,CVS Pharmacy,Healthcare,311.68,**** **** **** 6374
2023-03-22,2023-03-22,TXN6431983,Netflix,Entertainment,182.33,**** **** **** 4898
2023-03-22,2023-03-24,TXN2817745,Exxon,Gas,193.61,**** **** **** 7086
2023-03-22,2023-03-24,TXN9427047,Spotify,Entertainment,482.59,**** **** **** 3068
2023-03-23,2023-03-23,TXN2563790,Exxon,Gas,11.77,**** **** **** 7684
2023-03-24,2023-03-24,TXN6702160,McDonalds,Dining,387.47,**** **** **** 7798
2023-03-24,2023-03-24,TXN8443690,Comcast,Utilities,381.38,**** **** **** 2646
2023-03-26,2023-03-27,TXN2512187,Trader Joes,Groceries,185.61,**** **** **** 3153
2023-03-26,2023-03-28,TXN3760597,Etsy,Online Shopping,253.39,**** **** **** 5465
2023-03-26,2023-03-28,TXN4623062,Delta Airlines,Travel,415.76,**** **** **** 4394
2023-03-26,2023-03-28,TXN7942639,Chipotle,Dining,217.88,**** **** **** 4743
2023-03-27,2023-03-27,TXN5651899,Amazon,Online Shopping,395.38,**** **** **** 1046
2023-03-27,2023-03-27,TXN7069650,Walgreens,Healthcare,31.83,**** **** **** 9494
2023-03-27,2023-03-28,TXN4189885,Airbnb,Travel,401.96,**** **** **** 4588
2023-03-27,2023-03-29,TXN9333700,PG&E,Utilities,9.01,**** **** **** 1803
2023-03-28,2023-03-28,TXN2844258,AMC Theaters,Entertainment,129.07,**** **** **** 3858
2023-03-28,2023-03-28,TXN7328534,Health Clinic,Healthcare,244.75,**** **** **** 6446
2023-03-28,2023-03-29,TXN7477326,Costco,Groceries,373.63,**** **** **** 7246
2023-03-28,2023-03-30,TXN1602286,PG&E,Utilities,315.27,**** **** **** 8994
2023-03-30,2023-03-31,TXN3217273,Etsy,Online Shopping,210.67,**** **** **** 4289
2023-03-30,2023-03-31,TXN5014745,Health Clinic,Healthcare,244.93,**** **** **** 1472
2023-03-30,2023-04-01,TXN8710313,Netflix,Entertainment,233.27,**** **** **** 5161
2023-03-30,2023-04-01,TXN9094999,Exxon,Gas,354.18,**** **** **** 7807
2023-03-30,2023-04-01,TXN9214801,Shell,Gas,145.01,**** **** **** 5891
2023-03-31,2023-03-31,TXN7017548,Amazon,Online Shopping,490.56,**** **** **** 7018
2023-03-31,2023-03-31,TXN7136687,Netflix,Entertainment,430.77,**** **** **** 7511
2023-03-31,2023-04-01,TXN8460758,Trader Joes,Groceries,188.41,**** **** **** 8264
2023-03-31,2023-04-02,TXN2672884,Amazon,Online Shopping,437.72,**** **** **** 8213
2023-04-01,2023-04-03,TXN1026245,Airbnb,Travel,76.07,**** **** **** 8032
2023-04-02,2023-04-02,TXN9507186,Ebay,Online Shopping,42.98,**** **** **** 2479
2023-04-02,2023-04-03,TXN5780297,Etsy,Online Shopping,361.19,**** **** **** 8277
2023-04-03,2023-04-03,TXN3182975,Pizza Hut,Dining,52.80,**** **** **** 7105
2023-04-03,2023-04-04,TXN3820798,Exxon,Gas,173.06,**** **** **** 6456
2023-04-03,2023-04-04,TXN9790632,Chipotle,Dining,220.66,**** **** **** 7560
2023-04-03,2023-04-05,TXN3163449,Spotify,Entertainment,158.56,**** **** **** 7421
2023-04-03,2023-04-05,TXN6890476,Chipotle,Dining,453.43,**** **** **** 6724
2023-04-04,2023-04-04,TXN7378822,Health Clinic,Healthcare,218.17,**** **** **** 3116
2023-04-04,2023-04-05,TXN8043503,Uber,Travel,65.31,**** **** **** 4906
2023-04-04,2023-04-06,TXN6592886,PG&E,Utilities,129.74,**** **** **** 3463
2023-04-05,2023-04-05,TXN8342941,AMC Theaters,Entertainment,386.69,**** **** **** 3712
2023-04-05,2023-04-06,TXN5608259,Pizza Hut,Dining,223.89,**** **** **** 5961
2023-04-06,2023-04-07,TXN3403361,Chevron,Gas,178.76,**** **** **** 3972
2023-04-06,2023-04-08,TXN8113787,Trader Joes,Groceries,45.38,**** **** **** 8259
2023-04-06,2023-04-08,TXN8783840,AMC Theaters,Entertainment,42.30,**** **** **** 9095
2023-04-07,2023-04-08,TXN6504979,Delta Airlines,Travel,383.26,**** **** **** 5742
2023-04-08,2023-04-08,TXN9517619,Netflix,Entertainment,151.42,**** **** **** 2657
2023-04-08,2023-04-09,TXN2662338,McDonalds,Dining,116.15,**** **** **** 6221
2023-04-09,2023-04-09,TXN8101036,AMC Theaters,Entertainment,470.41,**** **** **** 9647
2023-04-10,2023-04-10,TXN4221313,Uber,Travel,474.10,**** **** **** 8967
2023-04-12,2023-04-12,TXN7490791,Costco,Groceries,437.30,**** **** **** 1713
2023-04-12,2023-04-13,TXN3610197,Etsy,Online Shopping,300.13,**** **** **** 1861
2023-04-12,2023-04-13,TXN9840487,McDonalds,Dining,340.72,**** **** **** 8972
2023-04-12,2023-04-14,TXN8199311,Amazon,Online Shopping,382.49,**** **** **** 4705
2023-04-13,2023-04-13,TXN7070880,Amazon,Online Shopping,401.65,**** **** **** 8538
2023-04-13,2023-04-14,TXN6394323,Costco,Groceries,454.98,**** **** **** 4084
2023-04-13,2023-04-15,TXN6252285,Costco,Groceries,14.28,**** **** **** 2275
2023-04-14,2023-04-15,TXN6531293,Trader Joes,Groceries,325.42,**** **** **** 2079
2023-04-15,2023-04-17,TXN8568671,Spotify,Entertainment,50.40,**** **** **** 4637
2023-04-16,2023-04-18,TXN2909540,Walgreens,Healthcare,140.22,**** **** **** 9394
2023-04-17,2023-04-19,TXN7499771,Spotify,Entertainment,189.56,**** **** **** 5634
2023-04-17,2023-04-19,TXN8372274,Netflix,Entertainment,127.63,**** **** **** 8172
2023-04-18,2023-04-18,TXN5576678,McDonalds,Dining,46.52,**** **** **** 3626
2023-04-18,2023-04-18,TXN8095702,Etsy,Online Shopping,65.50,**** **** **** 6793
2023-04-18,2023-04-20,TXN2209226,Airbnb,Travel,281.57,**** **** **** 6802
2023-04-19,2023-04-19,TXN8581856,Etsy,Online Shopping,41.72,**** **** **** 8565
2023-04-19,2023-04-20,TXN2932288,Verizon,Utilities,321.87,**** **** **** 5743
2023-04-19,2023-04-21,TXN2539438,Comcast,Utilities,75.23,**** **** **** 1502
2023-04-19,2023-04-21,TXN2815603,Delta Airlines,Travel,330.08,**** **** **** 4674
2023-04-20,2023-04-21,TXN2414808,Netflix,Entertainment,228.01,**** **** **** 6626
2023-04-20,2023-04-21,TXN9782613,Airbnb,Travel,211.20,**** **** **** 2402
2023-04-20,2023-04-22,TXN3144023,McDonalds,Dining,281.67,**** **** **** 6381
2023-04-21,2023-04-23,TXN9993490,CVS Pharmacy,Healthcare,59.87,**** **** **** 9189
2023-04-22,2023-04-23,TXN1128967,Walmart,Groceries,200.66,**** **** **** 1897
2023-04-22,2023-04-23,TXN2126310,Amazon,Online Shopping,344.98,**** **** **** 8770
2023-04-22,2023-04-24,TXN7083379,Pizza Hut,Dining,256.70,**** **** **** 1298
2023-04-23,2023-04-23,TXN1318832,Walgreens,Healthcare,309.60,**** **** **** 2298
2023-04-24,2023-04-26,TXN3640889,Uber,Travel,212.82,**** **** **** 6585
2023-04-24,2023-04-26,TXN4309671,Netflix,Entertainment,55.89,**** **** **** 5193
2023-04-25,2023-04-26,TXN4350371,Verizon,Utilities,266.09,**** **** **** 3655
2023-04-25,2023-04-27,TXN6303930,Health Clinic,Healthcare,462.46,**** **** **** 6295
2023-04-25,2023-04-27,TXN7320310,Trader Joes,Groceries,171.70,**** **** **** 3147
2023-04-25,2023-04-27,TXN8868776,CVS Pharmacy,Healthcare,269.34,**** **** **** 6070
2023-04-26,2023-04-28,TXN7227905,Spotify,Entertainment,30.83,**** **** **** 8873
2023-04-27,2023-04-29,TXN8926478,Amazon,Online Shopping,73.11,**** **** **** 5700
2023-04-28,2023-04-30,TXN1485753,Trader Joes,Groceries,464.90,**** **** **** 5381
2023-04-28,2023-04-30,TXN2738129,Costco,Groceries,302.20,**** **** **** 6761
2023-04-29,2023-04-29,TXN8745704,Etsy,Online Shopping,473.83,**** **** **** 8218
2023-04-29,2023-04-30,TXN7274032,Costco,Groceries,31.36,**** **** **** 9224
2023-05-01,2023-05-02,TXN2446455,Ebay,Online Shopping,402.81,**** **** **** 3126
2023-05-01,2023-05-03,TXN5391883,Spotify,Entertainment,261.28,**** **** **** 2929
2023-05-02,2023-05-02,TXN9712957,AMC Theaters,Entertainment,169.86,**** **** **** 8761
2023-05-02,2023-05-03,TXN5794062,Health Clinic,Healthcare,441.76,**** **** **** 8710
2023-05-02,2023-05-04,TXN1508113,Exxon,Gas,109.35,**** **** **** 7825
2023-05-03,2023-05-04,TXN1816348,CVS Pharmacy,Healthcare,111.50,**** **** **** 6781
2023-05-03,2023-05-04,TXN2343333,AMC Theaters,Entertainment,150.41,**** **** **** 2680
2023-05-03,2023-05-04,TXN7891998,Verizon,Utilities,360.84,**** **** **** 9612
2023-05-04,2023-05-06,TXN5872986,PG&E,Utilities,410.10,**** **** **** 3399
2023-05-05,2023-05-05,TXN1543335,Airbnb,Travel,186.33,**** **** **** 7272
2023-05-05,2023-05-05,TXN7133857,PG&E,Utilities,398.47,**** **** **** 6555
2023-05-05,2023-05-06,TXN2044906,Uber,Travel,253.40,**** **** **** 8726
2023-05-05,2023-05-06,TXN5487430,McDonalds,Dining,124.66,**** **** **** 3007
2023-05-06,2023-05-07,TXN5765539,Uber,Travel,474.00,**** **** **** 9501
2023-05-07,2023-05-07,TXN2472884,Netflix,Entertainment,228.76,**** **** **** 8292
2023-05-08,2023-05-08,TXN3673322,Etsy,Online Shopping,361.96,**** **** **** 4110
2023-05-09,2023-05-11,TXN3860717,Airbnb,Travel,30.42,**** **** **** 8871
2023-05-09,2023-05-11,TXN5045421,Costco,Groceries,395.32,**** **** **** 6649
2023-05-09,2023-05-11,TXN7095349,Walmart,Groceries,337.24,**** **** **** 7655
2023-05-11,2023-05-12,TXN5828304,Etsy,Online Shopping,467.18,**** **** **** 5480
2023-05-11,2023-05-13,TXN3795835,Chevron,Gas,225.73,**** **** **** 7981
2023-05-12,2023-05-12,TXN8330827,Ebay,Online Shopping,66.62,**** **** **** 7029
2023-05-13,2023-05-14,TXN6943949,Spotify,Entertainment,456.50,**** **** **** 6608
2023-05-13,2023-05-15,TXN9931180,Exxon,Gas,171.50,**** **** **** 9351
2023-05-14,2023-05-16,TXN3762487,Walmart,Groceries,261.46,**** **** **** 5982
2023-05-15,2023-05-15,TXN3726331,Spotify,Entertainment,466.03,**** **** **** 6218
2023-05-15,2023-05-15,TXN8015136,Netflix,Entertainment,30.05,**** **** **** 7293
2023-05-15,2023-05-16,TXN6244264,Walgreens,Healthcare,105.99,**** **** **** 3353
2023-05-15,2023-05-17,TXN3164813,Amazon,Online Shopping,439.59,**** **** **** 3981
2023-05-16,2023-05-18,TXN1388833,Walgreens,Healthcare,440.14,**** **** **** 9148
2023-05-16,2023-05-18,TXN5108369,Exxon,Gas,478.54,**** **** **** 8912
2023-05-16,2023-05-18,TXN6557278,Chevron,Gas,408.80,**** **** **** 7035
2023-05-17,2023-05-17,TXN9288312,Chipotle,Dining,397.07,**** **** **** 4878
2023-05-17,2023-05-18,TXN2903351,PG&E,Utilities,326.53,**** **** **** 5089
2023-05-17,2023-05-19,TXN1529665,Comcast,Utilities,411.72,**** **** **** 4968
2023-05-17,2023-05-19,TXN1583829,Netflix,Entertainment,75.68,**** **** **** 8179
2023-05-18,2023-05-18,TXN7136730,Pizza Hut,Dining,71.30,**** **** **** 5333
2023-05-18,2023-05-19,TXN2993318,Pizza Hut,Dining,254.61,**** **** **** 5582
2023-05-18,2023-05-19,TXN9204110,Uber,Travel,386.73,**** **** **** 4396
2023-05-19,2023-05-21,TXN8025967,Chipotle,Dining,14.37,**** **** **** 6139
2023-05-20,2023-05-20,TXN3310140,Walgreens,Healthcare,189.15,**** **** **** 2259
2023-05-21,2023-05-22,TXN3872269,Chipotle,Dining,297.95,**** **** **** 3526
2023-05-22,2023-05-22,TXN8962302,Verizon,Utilities,157.30,**** **** **** 1436
2023-05-22,2023-05-24,TXN2362693,Etsy,Online Shopping,25.39,**** **** **** 1464
2023-05-22,2023-05-24,TXN5680950,Exxon,Gas,244.67,**** **** **** 5038
2023-05-23,2023-05-23,TXN9816043,Airbnb,Travel,165.90,**** **** **** 8837
2023-05-23,2023-05-24,TXN8121922,Etsy,Online Shopping,137.03,**** **** **** 2353
2023-05-23,2023-05-24,TXN8297090,Ebay,Online Shopping,25.97,**** **** **** 6776
2023-05-24,2023-05-26,TXN6679880,McDonalds,Dining,71.04,**** **** **** 6772
2023-05-25,2023-05-25,TXN1675365,Airbnb,Travel,257.02,**** **** **** 9193
2023-05-25,2023-05-26,TXN7082139,Amazon,Online Shopping,203.29,**** **** **** 4189
2023-05-25,2023-05-26,TXN8549319,Chipotle,Dining,486.33,**** **** **** 2215
2023-05-25,2023-05-26,TXN9240971,CVS Pharmacy,Healthcare,498.20,**** **** **** 5678
